ssim,corr,r2,mae,mse,pred_name
0.3103598436849216,0.2722267806529999,-3.394220354519578,326.4643859863281,148063.375,im_c001_z000_t000_p016_xy0
0.3443521191604883,0.3542635440826416,-2.4186687488092966,286.405029296875,121055.875,im_c001_z001_t000_p016_xy0
0.305627993557236,0.3107543885707855,-3.1687803422609795,328.3326110839844,147907.59375,im_c001_z002_t000_p016_xy0
0.3387547240045082,0.2934962511062622,-3.442918893558571,337.0124816894531,153514.5625,im_c001_z003_t000_p016_xy0
0.37104683679799,0.3555704653263092,-4.072919999515746,359.4429626464844,166138.734375,im_c001_z004_t000_p016_xy0
0.4371251419129462,0.46083319187164307,-0.6450829996066947,271.8453369140625,111724.1796875,im_c001_z000_t000_p017_xy0
0.45351880308210085,0.5688413381576538,-0.31012745139098863,243.0245361328125,91158.453125,im_c001_z001_t000_p017_xy0
0.4442281402805715,0.5343353152275085,-0.4188855943011023,258.7672119140625,100654.546875,im_c001_z002_t000_p017_xy0
0.48445634005101296,0.5330236554145813,-0.554753971404438,267.7593078613281,107218.5546875,im_c001_z003_t000_p017_xy0
0.490660675429129,0.5189514756202698,-0.771845091061923,286.13250732421875,118371.28125,im_c001_z004_t000_p017_xy0
